zip,metro,0br,1br,2br,3br,4br
76015,"Fort Worth-Arlington, TX HUD Metro FMR Area",990,1130,1370,1830,2290
76016,"Fort Worth-Arlington, TX HUD Metro FMR Area",1210,1370,1670,2230,2790
76017,"Fort Worth-Arlington, TX HUD Metro FMR Area",960,1090,1330,1780,2220
76018,"Fort Worth-Arlington, TX HUD Metro FMR Area",1230,1390,1690,2260,2830
76019,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76020,"Fort Worth-Arlington, TX HUD Metro FMR Area",790,900,1090,1450,1810
76021,"Fort Worth-Arlington, TX HUD Metro FMR Area",1020,1160,1410,1890,2360
76022,"Fort Worth-Arlington, TX HUD Metro FMR Area",940,1070,1300,1740,2170
76023,"Fort Worth-Arlington, TX HUD Metro FMR Area",980,1000,1140,1470,1580
76028,"Fort Worth-Arlington, TX HUD Metro FMR Area",960,1090,1320,1770,2210
76031,"Fort Worth-Arlington, TX HUD Metro FMR Area",760,860,1050,1400,1760
76033,"Fort Worth-Arlington, TX HUD Metro FMR Area",800,900,1100,1470,1840
76034,"Fort Worth-Arlington, TX HUD Metro FMR Area",1350,1530,1860,2490,3110
76035,"Fort Worth-Arlington, TX HUD Metro FMR Area",1100,1210,1460,1920,2390
76036,"Fort Worth-Arlington, TX HUD Metro FMR Area",1020,1160,1410,1890,2360
76039,"Fort Worth-Arlington, TX HUD Metro FMR Area",1140,1290,1570,2100,2620
76040,"Fort Worth-Arlington, TX HUD Metro FMR Area",890,1010,1230,1650,2060
76044,"Fort Worth-Arlington, TX HUD Metro FMR Area",900,1020,1240,1660,2070
76049,"Fort Worth-Arlington, TX HUD Metro FMR Area",950,970,1160,1450,1780
76050,"Fort Worth-Arlington, TX HUD Metro FMR Area",730,830,1010,1350,1690
76051,"Fort Worth-Arlington, TX HUD Metro FMR Area",1160,1320,1600,2140,2680
76052,"Fort Worth-Arlington, TX HUD Metro FMR Area",1330,1500,1820,2420,3030
76053,"Fort Worth-Arlington, TX HUD Metro FMR Area",890,1010,1230,1650,2060
76054,"Fort Worth-Arlington, TX HUD Metro FMR Area",1120,1270,1550,2070,2590
76058,"Fort Worth-Arlington, TX HUD Metro FMR Area",800,900,1100,1470,1840
76059,"Fort Worth-Arlington, TX HUD Metro FMR Area",790,900,1090,1460,1820
76060,"Fort Worth-Arlington, TX HUD Metro FMR Area",890,1000,1220,1630,2040
76061,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1680,2090
76063,"Fort Worth-Arlington, TX HUD Metro FMR Area",1140,1290,1570,2100,2620
76066,"Fort Worth-Arlington, TX HUD Metro FMR Area",530,600,730,990,1240
76067,"Fort Worth-Arlington, TX HUD Metro FMR Area",690,780,950,1270,1590
76070,"Fort Worth-Arlington, TX HUD Metro FMR Area",760,830,1010,1360,1660
76071,"Fort Worth-Arlington, TX HUD Metro FMR Area",920,950,1090,1410,1530
76082,"Fort Worth-Arlington, TX HUD Metro FMR Area",850,950,1150,1530,1880
76084,"Fort Worth-Arlington, TX HUD Metro FMR Area",840,950,1150,1540,1930
76085,"Fort Worth-Arlington, TX HUD Metro FMR Area",700,800,970,1300,1620
76086,"Fort Worth-Arlington, TX HUD Metro FMR Area",930,1050,1280,1710,2140
76087,"Fort Worth-Arlington, TX HUD Metro FMR Area",990,1120,1360,1820,2270
76088,"Fort Worth-Arlington, TX HUD Metro FMR Area",860,980,1190,1590,1990
76092,"Fort Worth-Arlington, TX HUD Metro FMR Area",1220,1370,1650,2180,2780
76093,"Fort Worth-Arlington, TX HUD Metro FMR Area",790,900,1090,1460,1820
76094,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76095,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76096,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76097,"Fort Worth-Arlington, TX HUD Metro FMR Area",860,980,1190,1590,1990
76098,"Fort Worth-Arlington, TX HUD Metro FMR Area",870,990,1200,1610,2010
76099,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76101,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76102,"Fort Worth-Arlington, TX HUD Metro FMR Area",1230,1390,1690,2260,2830
76103,"Fort Worth-Arlington, TX HUD Metro FMR Area",700,790,960,1280,1610
76104,"Fort Worth-Arlington, TX HUD Metro FMR Area",780,880,1070,1430,1790
76105,"Fort Worth-Arlington, TX HUD Metro FMR Area",740,840,1020,1360,1710
76106,"Fort Worth-Arlington, TX HUD Metro FMR Area",800,900,1100,1470,1840
76107,"Fort Worth-Arlington, TX HUD Metro FMR Area",990,1120,1360,1820,2270
76108,"Fort Worth-Arlington, TX HUD Metro FMR Area",880,990,1210,1620,2020
76109,"Fort Worth-Arlington, TX HUD Metro FMR Area",1010,1140,1390,1860,2320
76110,"Fort Worth-Arlington, TX HUD Metro FMR Area",790,900,1090,1460,1820
76111,"Fort Worth-Arlington, TX HUD Metro FMR Area",820,930,1130,1510,1890
76112,"Fort Worth-Arlington, TX HUD Metro FMR Area",820,930,1130,1510,1890
76113,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76114,"Fort Worth-Arlington, TX HUD Metro FMR Area",810,920,1120,1500,1870
76115,"Fort Worth-Arlington, TX HUD Metro FMR Area",750,850,1030,1380,1720
76116,"Fort Worth-Arlington, TX HUD Metro FMR Area",860,970,1180,1580,1970
76117,"Fort Worth-Arlington, TX HUD Metro FMR Area",770,870,1060,1420,1770
76118,"Fort Worth-Arlington, TX HUD Metro FMR Area",820,930,1130,1510,1890
76119,"Fort Worth-Arlington, TX HUD Metro FMR Area",750,850,1030,1380,1720
76120,"Fort Worth-Arlington, TX HUD Metro FMR Area",820,930,1130,1510,1890
76121,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76123,"Fort Worth-Arlington, TX HUD Metro FMR Area",1350,1530,1860,2490,3110
76124,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76126,"Fort Worth-Arlington, TX HUD Metro FMR Area",980,1110,1350,1810,2260
76127,"Fort Worth-Arlington, TX HUD Metro FMR Area",830,940,1140,1540,1980
76129,"Fort Worth-Arlington, TX HUD Metro FMR Area",1010,1140,1390,1860,2320
76130,"Fort Worth-Arlington, TX HUD Metro FMR Area",910,1030,1250,1670,2090
76131,"Fort Worth-Arlington, TX HUD Metro FMR Area",1250,1410,1720,2300,2880
76132,"Fort Worth-Arlington, TX HUD Metro FMR Area",990,1120,1360,1820,2270
